(39,'QQ-2n04mOpA','none','Staggered Push Ups, Feet Elevated',1,1,1,25,NULL,5,1,1,0,0,'2010-01-18 09:06:40','Monday',1,NULL,NULL,NULL),
(40,'2vrwjV_qh94','none','Plyometric Alternating Elevated Stagger Push Ups',1,1,1,25,NULL,5,1,1,0,0,'2009-12-16 06:45:35','Wednesday',2,NULL,NULL,NULL),
(41,'3dLhi7qJeY4','none','Extended Position Push Up',1,5,5,26,NULL,2,1,1,0,0,'2009-12-11 15:24:58','Friday',1,NULL,NULL,NULL),
(42,'9rMbdJEgpRo','none','Low Hand Push Up',1,1,1,26,NULL,5,1,1,0,0,'2010-02-02 00:45:37','Tuesday',1,NULL,NULL,NULL),
(43,'tumU5ZM66kI','none','Feet on Wall Pushup',1,3,2,26,NULL,5,1,1,0,0,'2010-01-18 13:44:58','Monday',3,NULL,NULL,NULL),
(44,'wY6Om_kKypw','none','No Feet Push Up',1,4,4,26,NULL,5,1,1,0,0,'2009-12-11 13:12:39','Friday',3,NULL,NULL,NULL),
(45,'g4RHim6PvRk','none','Handstand Push Up',1,4,3,11,NULL,5,1,1,0,0,'2010-01-18 15:34:55','Monday',1,NULL,NULL,NULL),
(46,'none','none','Resistive Band Push-ups',1,3,3,26,NULL,5,1,0,0,0,'2009-11-11 03:01:21','Wednesday',1,NULL,NULL,NULL),
(47,'1thLySkc6pg','none','Seated Lateral Raise',1,1,1,11,NULL,5,0,0,0,0,'2010-01-18 07:33:08','Monday',1,NULL,NULL,NULL),
(48,'0ouiL3QQPlI','none','Standing Lateral Raise',1,1,1,11,NULL,5,0,0,0,0,'2010-01-18 07:33:02','Monday',1,NULL,NULL,NULL),
(49,'d90WQODs7mg','none','Cable Lateral Raise',1,1,1,11,NULL,5,0,0,0,0,'2010-01-18 07:32:53','Monday',1,NULL,NULL,NULL),
(50,'jqD4ElyonhE','none','Seated Front Raise',1,1,1,11,NULL,5,0,0,0,0,'2009-12-15 16:52:04','Tuesday',1,51,NULL,NULL),
(51,'4atNMhSW7Ng','none','Standing Front Raise',1,1,1,11,NULL,5,0,0,0,0,'2009-12-04 11:06:18','Friday',1,NULL,NULL,NULL),
