+------+-------------+----------+
| id   | exercise_id | phase_id |
|  905 |          94 |        2 |
|  906 |          94 |        3 |
|  907 |          94 |        4 |
|  908 |          94 |        5 |
| 2346 |         381 |        3 |
|  910 |          95 |        2 |
|  911 |          95 |        3 |
| 2345 |         381 |        2 |
| 2344 |         380 |        5 |
| 2270 |         255 |        2 |
|  915 |          96 |        2 |
|  916 |          96 |        3 |
| 2269 |         254 |        4 |
| 2268 |         254 |        3 |
| 2273 |         248 |        3 |
|  920 |          97 |        2 |
|  921 |          97 |        3 |
| 2272 |         255 |        4 |
| 2271 |         255 |        3 |
| 2330 |         247 |        2 |
| 2331 |         247 |        3 |
| 2275 |         246 |        2 |
| 2274 |         248 |        4 |
| 2352 |         382 |        5 |
| 2277 |         246 |        4 |
| 2276 |         246 |        3 |
| 2293 |         244 |        3 |
|  950 |         103 |        2 |
|  951 |         103 |        3 |
|  952 |         103 |        4 |
| 2292 |         243 |        4 |
|  955 |         104 |        2 |
|  956 |         104 |        3 |
|  959 |         105 |        1 |
|  960 |         105 |        2 |
|  961 |         105 |        3 |
| 2351 |         382 |        4 |
| 2350 |         382 |        3 |
| 2349 |         382 |        2 |
|  965 |         106 |        2 |
|  966 |         106 |        3 |
| 2348 |         381 |        5 |
| 2347 |         381 |        4 |
| 2285 |         241 |        2 |
| 2284 |         240 |        4 |
| 2282 |         239 |        4 |
|  975 |         108 |        2 |
|  976 |         108 |        3 |
| 2287 |         241 |        4 |
| 2286 |         241 |        3 |
| 2291 |         243 |        3 |
| 2290 |         243 |        2 |
| 2295 |         245 |        2 |
|  985 |         110 |        2 |
|  986 |         110 |        3 |
|  987 |         110 |        4 |
| 2294 |         244 |        4 |
| 2298 |         310 |        4 |
|  990 |         111 |        2 |
|  991 |         111 |        3 |
| 2297 |         245 |        4 |
| 2296 |         245 |        3 |
| 2264 |         252 |        4 |
|  995 |         112 |        2 |
|  996 |         112 |        3 |
|  997 |         112 |        4 |
| 2263 |         252 |        3 |
| 1001 |         113 |        3 |
| 1006 |         114 |        3 |
| 2212 |         283 |        5 |
| 2211 |         283 |        4 |
| 1011 |         115 |        3 |
| 2030 |         349 |        2 |
| 1016 |         116 |        3 |
| 1026 |         118 |        3 |
| 1031 |         119 |        3 |
| 1036 |         120 |        3 |
| 2210 |         283 |        3 |
| 2209 |         283 |        2 |
| 1051 |         123 |        3 |
| 2208 |         282 |        3 |
| 2207 |         281 |        3 |
| 1056 |         124 |        3 |
| 1057 |         124 |        4 |
| 1060 |         125 |        2 |
| 1061 |         125 |        3 |
| 1062 |         125 |        4 |
| 1065 |         126 |        2 |
| 1066 |         126 |        3 |
| 1828 |         133 |        5 |
| 1071 |         127 |        3 |
| 1072 |         127 |        4 |
| 1073 |         127 |        5 |
| 2105 |         203 |        2 |
| 1075 |         128 |        2 |
| 1076 |         128 |        3 |
| 1077 |         128 |        4 |
| 1078 |         128 |        5 |
| 1080 |         129 |        2 |
| 1081 |         129 |        3 |
| 1082 |         129 |        4 |
| 1083 |         129 |        5 |
| 2096 |         206 |        5 |
| 1085 |         130 |        2 |
| 1086 |         130 |        3 |
| 1087 |         130 |        4 |
| 1088 |         130 |        5 |
| 1090 |         131 |        2 |
| 1091 |         131 |        3 |
| 1095 |         132 |        2 |
| 1096 |         132 |        3 |
| 1100 |         133 |        2 |
| 1101 |         133 |        3 |
| 1102 |         133 |        4 |
| 1105 |         134 |        2 |
| 1106 |         134 |        3 |
| 2222 |         135 |        1 |
| 1108 |         134 |        5 |
| 1110 |         135 |        2 |
| 1111 |         135 |        3 |
| 2223 |         366 |        1 |
| 2998 |         593 |        2 |
| 1115 |         136 |        2 |
| 1116 |         136 |        3 |
| 1117 |         136 |        4 |
| 1118 |         136 |        5 |
| 1120 |         205 |        2 |
| 1121 |         205 |        3 |
| 1122 |         205 |        4 |
| 1125 |         138 |        2 |
| 1126 |         138 |        3 |
| 1129 |         139 |        1 |
| 1130 |         139 |        2 |
| 1131 |         139 |        3 |
| 3147 |         648 |        3 |
| 3146 |         647 |        5 |
| 3145 |         647 |        4 |
| 1139 |         141 |        1 |
| 1140 |         141 |        2 |
| 1141 |         141 |        3 |
| 1142 |         141 |        4 |
| 1143 |         141 |        5 |
| 2243 |         289 |        1 |
| 1145 |         142 |        2 |
| 1146 |         142 |        3 |
| 1147 |         142 |        4 |
| 1148 |         142 |        5 |
| 2251 |         309 |        4 |
| 1150 |         143 |        2 |
| 1151 |         143 |        3 |
| 1152 |         143 |        4 |
| 1153 |         143 |        5 |
| 2203 |         297 |        5 |
| 1161 |         145 |        3 |
| 2029 |         349 |        1 |
| 1163 |         145 |        5 |
| 1165 |         146 |        2 |
| 1166 |         146 |        3 |
| 1167 |         146 |        4 |
| 1168 |         146 |        5 |
| 1170 |         147 |        2 |
| 1171 |         147 |        3 |
| 1172 |         147 |        4 |
| 1173 |         147 |        5 |
| 1180 |         149 |        2 |
| 1181 |         149 |        3 |
| 1182 |         149 |        4 |
| 1183 |         149 |        5 |
| 2184 |          76 |        1 |
| 1185 |         150 |        2 |
| 1186 |         150 |        3 |
| 1187 |         150 |        4 |
| 1188 |         150 |        5 |
| 1190 |         151 |        2 |
| 1191 |         151 |        3 |
| 1192 |         151 |        4 |
| 1193 |         151 |        5 |
| 1195 |         152 |        2 |
| 1196 |         152 |        3 |
| 1197 |         152 |        4 |
| 1198 |         152 |        5 |
| 2183 |          77 |        2 |
| 2185 |          76 |        3 |
| 1205 |         154 |        2 |
| 1206 |         154 |        3 |
| 1207 |         154 |        4 |
| 1208 |         154 |        5 |
| 1210 |         155 |        2 |
| 1211 |         155 |        3 |
| 1212 |         155 |        4 |
| 1213 |         155 |        5 |
| 2186 |          75 |        1 |
| 1215 |         156 |        2 |
| 1216 |         156 |        3 |
| 1217 |         156 |        4 |
| 1218 |         156 |        5 |
| 1219 |         158 |        1 |
| 1220 |         158 |        2 |
| 1221 |         158 |        3 |
| 1222 |         158 |        4 |
| 1223 |         158 |        5 |
| 1225 |         159 |        2 |
| 1226 |         159 |        3 |
| 1227 |         159 |        4 |
| 1228 |         159 |        5 |
| 1230 |         160 |        2 |
| 1231 |         160 |        3 |
| 1232 |         160 |        4 |
| 1233 |         160 |        5 |
| 2310 |         272 |        1 |
| 1235 |         161 |        2 |
| 1236 |         161 |        3 |
| 1237 |         161 |        4 |
| 1238 |         161 |        5 |
| 2245 |         290 |        4 |
| 1245 |         163 |        2 |
| 1246 |         163 |        3 |
| 1247 |         163 |        4 |
| 1248 |         163 |        5 |
| 2574 |         464 |        1 |
| 2262 |         251 |        4 |
| 1265 |         167 |        2 |
| 1266 |         167 |        3 |
| 1267 |         167 |        4 |
| 1268 |         167 |        5 |
| 1270 |         168 |        2 |
| 1271 |         168 |        3 |
| 1272 |         168 |        4 |
| 1273 |         168 |        5 |
| 1280 |         170 |        2 |
| 1281 |         170 |        3 |
| 1282 |         170 |        4 |
| 1283 |         170 |        5 |
| 1285 |         171 |        2 |
| 1286 |         171 |        3 |
| 1287 |         171 |        4 |
| 1288 |         171 |        5 |
| 2246 |         290 |        5 |
| 1290 |         172 |        2 |
| 1291 |         172 |        3 |
| 1292 |         172 |        4 |
| 1293 |         172 |        5 |
| 1295 |         173 |        2 |
| 1296 |         173 |        3 |
| 1297 |         173 |        4 |
| 1298 |         173 |        5 |
| 1300 |         174 |        2 |
| 1301 |         174 |        3 |
| 1302 |         174 |        4 |
| 1303 |         174 |        5 |
| 1309 |         176 |        1 |
| 1310 |         176 |        2 |
| 1311 |         176 |        3 |
| 1312 |         176 |        4 |
| 1313 |         176 |        5 |
| 2123 |          45 |        5 |
| 2252 |         309 |        5 |
| 1325 |         179 |        2 |
| 1326 |         179 |        3 |
| 1327 |         179 |        4 |
| 1328 |         179 |        5 |
| 1330 |         180 |        2 |
| 1331 |         180 |        3 |
| 1332 |         180 |        4 |
| 1333 |         180 |        5 |
| 1335 |         181 |        2 |
| 1336 |         181 |        3 |
| 1337 |         181 |        4 |
| 1338 |         181 |        5 |
| 1339 |         182 |        1 |
| 1340 |         182 |        2 |
| 1341 |         182 |        3 |
| 1342 |         182 |        4 |
| 1343 |         182 |        5 |
| 1344 |         183 |        1 |
| 1345 |         183 |        2 |
| 1346 |         183 |        3 |
| 1347 |         183 |        4 |
| 1348 |         183 |        5 |
| 2317 |         375 |        4 |
| 1350 |         184 |        2 |
| 1351 |         184 |        3 |
| 1352 |         184 |        4 |
| 1353 |         184 |        5 |
| 1354 |         185 |        1 |
| 1355 |         185 |        2 |
| 1356 |         185 |        3 |
| 1357 |         185 |        4 |
| 1358 |         185 |        5 |
| 1365 |         187 |        2 |
| 1366 |         187 |        3 |
| 1367 |         187 |        4 |
| 1368 |         187 |        5 |
| 1370 |         188 |        2 |
| 1371 |         188 |        3 |
| 1372 |         188 |        4 |
| 1373 |         188 |        5 |
| 1375 |         189 |        2 |
| 1376 |         189 |        3 |
| 1377 |         189 |        4 |
| 1378 |         189 |        5 |
| 1380 |         190 |        2 |
| 1381 |         190 |        3 |
| 1382 |         190 |        4 |
| 1383 |         190 |        5 |
| 1385 |         191 |        2 |
| 1386 |         191 |        3 |
| 1387 |         191 |        4 |
| 1388 |         191 |        5 |
| 1389 |         192 |        1 |
| 1390 |         192 |        2 |
| 1391 |         192 |        3 |
| 1392 |         192 |        4 |
| 1393 |         192 |        5 |
| 1394 |         193 |        1 |
| 1395 |         193 |        2 |
| 1396 |         193 |        3 |
| 1397 |         193 |        4 |
| 1398 |         193 |        5 |
| 1399 |         194 |        1 |
| 1400 |         194 |        2 |
| 2326 |         377 |        3 |
