+-----+-------------+----------------+
| id  | exercise_id | musclegroup_id |
| 281 |         358 |             17 |
| 282 |         358 |             18 |
| 283 |         295 |             17 |
| 284 |         134 |             21 |
| 285 |         134 |             17 |
| 286 |         135 |             21 |
| 287 |         135 |             17 |
| 288 |         139 |              3 |
| 289 |         294 |             17 |
| 290 |         366 |             21 |
| 291 |         126 |             14 |
| 293 |         267 |              3 |
| 294 |         270 |              3 |
| 295 |         364 |             21 |
| 296 |         364 |             17 |
| 297 |         364 |              3 |
| 298 |         364 |             18 |
| 299 |         370 |             25 |
| 300 |          36 |             26 |
| 301 |          36 |             25 |
| 302 |          33 |             26 |
| 303 |          43 |             26 |
| 304 |          43 |             25 |
| 305 |          44 |             26 |
| 306 |          34 |             26 |
| 308 |         354 |             26 |
| 311 |          37 |             26 |
| 312 |          38 |             26 |
| 313 |          38 |             25 |
| 314 |          22 |             26 |
| 315 |          21 |             26 |
| 316 |           4 |             26 |
| 317 |           7 |             26 |
| 318 |           9 |             26 |
| 319 |           5 |             26 |
| 320 |          39 |             26 |
| 321 |          39 |             25 |
| 322 |          40 |             26 |
| 323 |          40 |             25 |
| 324 |          83 |             26 |
| 325 |          83 |             15 |
| 326 |          10 |              2 |
| 329 |          13 |             26 |
| 330 |          15 |             26 |
| 331 |          16 |             26 |
| 332 |          18 |             26 |
| 335 |          48 |             12 |
| 336 |         208 |             10 |
| 337 |         191 |             10 |
| 338 |         188 |             10 |
| 339 |         187 |             10 |
| 340 |         179 |             10 |
| 341 |         172 |             10 |
| 342 |         361 |             10 |
| 345 |         204 |             18 |
| 346 |         220 |             18 |
| 347 |         227 |             21 |
| 348 |         227 |             17 |
| 349 |         227 |             18 |
| 353 |         229 |             18 |
| 354 |         292 |             18 |
| 355 |         277 |             18 |
| 357 |         279 |             18 |
| 358 |         286 |             18 |
| 359 |         289 |             18 |
| 360 |         290 |             18 |
| 361 |         143 |             18 |
| 368 |         369 |              9 |
| 369 |         371 |              1 |
| 371 |         104 |             15 |
| 372 |         105 |             15 |
| 373 |         106 |             15 |
| 374 |          95 |             15 |
| 375 |          92 |             15 |
| 376 |          91 |             15 |
| 377 |          90 |             15 |
| 378 |          89 |             15 |
| 379 |          87 |             15 |
| 380 |          86 |             15 |
| 381 |         111 |             15 |
| 382 |         110 |             15 |
| 383 |         103 |             15 |
| 385 |         108 |             15 |
| 389 |          97 |             15 |
| 390 |          96 |             15 |
| 391 |          84 |             15 |
| 392 |         112 |             15 |
| 393 |          81 |             15 |
| 394 |           6 |             25 |
| 395 |           8 |             25 |
| 396 |         359 |             25 |
| 399 |          17 |             25 |
| 400 |         372 |             25 |
| 401 |         310 |             21 |
| 402 |         310 |             17 |
| 403 |         310 |             18 |
| 404 |         284 |             21 |
| 405 |         284 |             17 |
| 406 |         284 |             18 |
| 658 |         647 |              2 |
| 410 |         261 |             11 |
| 411 |         261 |             21 |
| 412 |         261 |             17 |
| 413 |         261 |             12 |
| 414 |         261 |             18 |
| 415 |         373 |              2 |
| 416 |         195 |             17 |
| 417 |         194 |             17 |
| 418 |         296 |             17 |
| 422 |         291 |             21 |
| 423 |         293 |             17 |
| 424 |          94 |             15 |
| 425 |         378 |              2 |
| 426 |         379 |              2 |
| 427 |         380 |             16 |
| 428 |         380 |              2 |
| 429 |         381 |              3 |
| 431 |         384 |              2 |
| 432 |         385 |              2 |
| 666 |         708 |             26 |
| 434 |         387 |              2 |
| 436 |         389 |             11 |
| 437 |         389 |             25 |
| 439 |         202 |              1 |
| 440 |         390 |             13 |
| 441 |         390 |              1 |
| 442 |         391 |             13 |
| 443 |         391 |              1 |
| 444 |         392 |             11 |
| 445 |         392 |             12 |
| 446 |         392 |             25 |
